Event order;case;event;startTime;completeTime;Concept drift;Activity name;Role;Department;Cost;Amount
187;21;A;2019/01/10 16:27:50;2019/01/10 16:27:50;No;Check application form completeness;Loan Officer;Customer Service;13.69121246;11050.91258
188;18;H;2019/01/10 16:28:23;2019/01/10 16:28:23;No;Reject application;Loan Officer;Customer Service;7.34251495;8673.066065
189;24;B;2019/01/10 16:29:01;2019/01/10 16:29:01;No;Return application back to applicant;Loan Officer;Customer Service;6.814225768;12374.72614
190;3;O;2019/01/10 16:30:58;2019/01/10 16:30:58;No;Approve application;Loan Officer;Customer Service;12.97796425;10560.4655
191;17;E;2019/01/10 16:33:39;2019/01/10 16:33:39;No;Assess loan risk;Risk Manager;Customer Service;24.81910514;9657.924317
192;14;F;2019/01/10 16:34:32;2019/01/10 16:34:32;No;Appraise property;Appraiser;Customer Service;25.87832118;10140.42387
193;12;O;2019/01/10 16:37:01;2019/01/10 16:37:01;No;Approve application;Loan Officer;Customer Service;14.95852162;9892.076361
194;0;H;2019/01/10 16:39:51;2019/01/10 16:39:51;No;Reject application;Loan Officer;Customer Service;12.47129465;9978.785972
195;26;A;2019/01/10 16:40:00;2019/01/10 16:40:00;No;Check application form completeness;Loan Officer;Customer Service;9.551165541;6237.105973
196;16;D;2019/01/10 16:42:12;2019/01/10 16:42:12;No;Check credit history;Credit Analyst;Customer Service;16.26903455;8182.934118
197;10;I;2019/01/10 16:43:30;2019/01/10 16:43:30;No;Prepare acceptance pack;Loan Officer;Customer Service;15.04361896;9869.515515
198;19;I;2019/01/10 16:43:45;2019/01/10 16:43:45;No;Prepare acceptance pack;Loan Officer;Customer Service;11.73119399;10193.4704
199;23;F;2019/01/10 16:44:48;2019/01/10 16:44:48;No;Appraise property;Appraiser;Customer Service;25.22786725;8975.047643
200;22;A;2019/01/10 16:46:20;2019/01/10 16:46:20;No;Check application form completeness;Loan Officer;Customer Service;9.810747203;9695.268422
201;20;D;2019/01/10 16:49:24;2019/01/10 16:49:24;No;Check credit history;Credit Analyst;Customer Service;18.86092849;7407.224067
202;25;B;2019/01/10 16:51:26;2019/01/10 16:51:26;No;Return application back to applicant;Loan Officer;Customer Service;7.54820358;11600.20029
203;24;C;2019/01/10 16:53:47;2019/01/10 16:53:47;No;Receive updated application;Loan Officer;Customer Service;5.24484572;12374.72614
204;15;H;2019/01/10 16:55:01;2019/01/10 16:55:01;No;Reject application;Loan Officer;Customer Service;8.656776823;11614.81179
205;21;D;2019/01/10 16:56:34;2019/01/10 16:56:34;No;Check credit history;Credit Analyst;Customer Service;13.45997687;11050.91258
206;27;A;2019/01/10 17:00:00;2019/01/10 17:00:00;No;Check application form completeness;Loan Officer;Customer Service;11.73756257;7944.416648
207;17;G;2019/01/10 17:00:22;2019/01/10 17:00:22;No;Assess eligibility;Risk Manager;Customer Service;17.68922215;9657.924317
