case,event,startTime,completeTime
15,H,2019/01/10 16:55:00.912,2019/01/10 16:55:00.912
21,D,2019/01/10 16:56:33.732,2019/01/10 16:56:33.732
27,A,2019/01/10 17:00:00.000,2019/01/10 17:00:00.000
17,G,2019/01/10 17:00:22.399,2019/01/10 17:00:22.399
14,E,2019/01/10 17:03:57.451,2019/01/10 17:03:57.451
26,B,2019/01/10 17:08:57.517,2019/01/10 17:08:57.517
22,D,2019/01/10 17:12:06.084,2019/01/10 17:12:06.084
16,F,2019/01/10 17:12:19.309,2019/01/10 17:12:19.309
23,E,2019/01/10 17:14:22.402,2019/01/10 17:14:22.402
10,J,2019/01/10 17:14:39.298,2019/01/10 17:14:39.298
19,J,2019/01/10 17:19:09.567,2019/01/10 17:19:09.567
28,A,2019/01/10 17:20:00.000,2019/01/10 17:20:00.000
24,A,2019/01/10 17:20:12.842,2019/01/10 17:20:12.842
25,C,2019/01/10 17:20:34.016,2019/01/10 17:20:34.016
17,H,2019/01/10 17:26:21.762,2019/01/10 17:26:21.762
21,F,2019/01/10 17:26:54.214,2019/01/10 17:26:54.214
14,G,2019/01/10 17:27:56.292,2019/01/10 17:27:56.292
20,F,2019/01/10 17:29:08.374,2019/01/10 17:29:08.374
27,B,2019/01/10 17:31:00.726,2019/01/10 17:31:00.726
26,C,2019/01/10 17:35:17.507,2019/01/10 17:35:17.507
29,A,2019/01/10 17:40:00.000,2019/01/10 17:40:00.000
16,E,2019/01/10 17:40:20.198,2019/01/10 17:40:20.198
22,F,2019/01/10 17:41:36.187,2019/01/10 17:41:36.187
19,L,2019/01/10 17:42:16.835,2019/01/10 17:42:16.835
23,G,2019/01/10 17:47:26.936,2019/01/10 17:47:26.936
10,K,2019/01/10 17:47:35.267,2019/01/10 17:47:35.267
28,B,2019/01/10 17:48:31.622,2019/01/10 17:48:31.622
24,D,2019/01/10 17:50:32.199,2019/01/10 17:50:32.199
25,A,2019/01/10 17:53:29.763,2019/01/10 17:53:29.763
21,E,2019/01/10 17:57:00.748,2019/01/10 17:57:00.748
27,C,2019/01/10 17:57:53.073,2019/01/10 17:57:53.073
14,I,2019/01/10 17:59:23.041,2019/01/10 17:59:23.041
30,A,2019/01/10 18:00:00.000,2019/01/10 18:00:00.000
20,E,2019/01/10 18:00:37.723,2019/01/10 18:00:37.723
26,A,2019/01/10 18:02:41.206,2019/01/10 18:02:41.206
29,B,2019/01/10 18:13:02.220,2019/01/10 18:13:02.220
22,E,2019/01/10 18:13:51.170,2019/01/10 18:13:51.170
16,G,2019/01/10 18:14:07.167,2019/01/10 18:14:07.167
23,H,2019/01/10 18:15:18.179,2019/01/10 18:15:18.179
19,M,2019/01/10 18:15:20.282,2019/01/10 18:15:20.282
10,M,2019/01/10 18:17:36.030,2019/01/10 18:17:36.030
24,F,2019/01/10 18:19:40.292,2019/01/10 18:19:40.292
31,A,2019/01/10 18:20:00.000,2019/01/10 18:20:00.000
28,C,2019/01/10 18:20:42.108,2019/01/10 18:20:42.108
25,D,2019/01/10 18:20:56.503,2019/01/10 18:20:56.503
14,J,2019/01/10 18:24:09.809,2019/01/10 18:24:09.809
21,G,2019/01/10 18:26:04.592,2019/01/10 18:26:04.592
30,B,2019/01/10 18:30:05.377,2019/01/10 18:30:05.377
27,A,2019/01/10 18:31:20.668,2019/01/10 18:31:20.668
20,G,2019/01/10 18:34:09.269,2019/01/10 18:34:09.269
26,B,2019/01/10 18:36:23.521,2019/01/10 18:36:23.521
32,A,2019/01/10 18:40:00.000,2019/01/10 18:40:00.000
16,I,2019/01/10 18:41:50.928,2019/01/10 18:41:50.928
29,C,2019/01/10 18:41:52.834,2019/01/10 18:41:52.834
10,N,2019/01/10 18:43:57.164,2019/01/10 18:43:57.164
22,G,2019/01/10 18:44:09.646,2019/01/10 18:44:09.646
19,O,2019/01/10 18:46:49.912,2019/01/10 18:46:49.912
28,A,2019/01/10 18:47:59.141,2019/01/10 18:47:59.141
31,D,2019/01/10 18:49:25.012,2019/01/10 18:49:25.012
24,E,2019/01/10 18:52:27.015,2019/01/10 18:52:27.015
14,L,2019/01/10 18:54:42.673,2019/01/10 18:54:42.673
25,F,2019/01/10 18:58:51.491,2019/01/10 18:58:51.491
33,A,2019/01/10 19:00:00.000,2019/01/10 19:00:00.000
30,C,2019/01/10 19:02:07.049,2019/01/10 19:02:07.049
27,B,2019/01/10 19:02:14.549,2019/01/10 19:02:14.549
21,H,2019/01/10 19:02:34.020,2019/01/10 19:02:34.020
20,I,2019/01/10 19:05:28.317,2019/01/10 19:05:28.317
26,C,2019/01/10 19:07:50.076,2019/01/10 19:07:50.076
32,D,2019/01/10 19:08:26.058,2019/01/10 19:08:26.058
16,J,2019/01/10 19:08:38.521,2019/01/10 19:08:38.521
28,B,2019/01/10 19:17:11.569,2019/01/10 19:17:11.569
24,G,2019/01/10 19:17:21.508,2019/01/10 19:17:21.508
31,F,2019/01/10 19:17:39.089,2019/01/10 19:17:39.089
22,H,2019/01/10 19:19:08.700,2019/01/10 19:19:08.700
29,A,2019/01/10 19:19:12.587,2019/01/10 19:19:12.587
34,A,2019/01/10 19:20:00.000,2019/01/10 19:20:00.000
14,M,2019/01/10 19:27:50.201,2019/01/10 19:27:50.201
30,A,2019/01/10 19:33:19.884,2019/01/10 19:33:19.884
27,C,2019/01/10 19:33:31.380,2019/01/10 19:33:31.380
33,B,2019/01/10 19:33:45.161,2019/01/10 19:33:45.161
25,E,2019/01/10 19:33:51.797,2019/01/10 19:33:51.797
32,F,2019/01/10 19:34:30.304,2019/01/10 19:34:30.304
20,J,2019/01/10 19:34:47.486,2019/01/10 19:34:47.486
26,A,2019/01/10 19:39:40.340,2019/01/10 19:39:40.340
16,K,2019/01/10 19:39:59.930,2019/01/10 19:39:59.930
35,A,2019/01/10 19:40:00.000,2019/01/10 19:40:00.000
29,D,2019/01/10 19:47:15.243,2019/01/10 19:47:15.243
24,I,2019/01/10 19:47:21.445,2019/01/10 19:47:21.445
34,D,2019/01/10 19:48:37.924,2019/01/10 19:48:37.924
31,E,2019/01/10 19:49:51.753,2019/01/10 19:49:51.753
28,C,2019/01/10 19:50:56.592,2019/01/10 19:50:56.592
14,O,2019/01/10 19:56:02.954,2019/01/10 19:56:02.954
36,A,2019/01/10 20:00:00.000,2019/01/10 20:00:00.000
30,D,2019/01/10 20:03:20.509,2019/01/10 20:03:20.509
27,A,2019/01/10 20:03:54.194,2019/01/10 20:03:54.194
33,C,2019/01/10 20:04:47.415,2019/01/10 20:04:47.415
26,B,2019/01/10 20:05:35.133,2019/01/10 20:05:35.133
20,L,2019/01/10 20:05:58.883,2019/01/10 20:05:58.883
25,G,2019/01/10 20:07:00.300,2019/01/10 20:07:00.300
32,E,2019/01/10 20:08:46.318,2019/01/10 20:08:46.318
35,D,2019/01/10 20:12:38.491,2019/01/10 20:12:38.491
16,M,2019/01/10 20:12:46.761,2019/01/10 20:12:46.761
31,G,2019/01/10 20:17:39.600,2019/01/10 20:17:39.600
34,F,2019/01/10 20:17:48.988,2019/01/10 20:17:48.988
24,J,2019/01/10 20:18:49.190,2019/01/10 20:18:49.190
37,A,2019/01/10 20:20:00.000,2019/01/10 20:20:00.000
28,A,2019/01/10 20:20:51.563,2019/01/10 20:20:51.563
29,F,2019/01/10 20:22:02.962,2019/01/10 20:22:02.962
27,D,2019/01/10 20:29:07.116,2019/01/10 20:29:07.116
36,D,2019/01/10 20:31:49.610,2019/01/10 20:31:49.610
33,A,2019/01/10 20:32:20.289,2019/01/10 20:32:20.289
25,H,2019/01/10 20:33:40.254,2019/01/10 20:33:40.254
20,M,2019/01/10 20:33:48.133,2019/01/10 20:33:48.133
30,F,2019/01/10 20:34:41.028,2019/01/10 20:34:41.028
26,C,2019/01/10 20:38:20.985,2019/01/10 20:38:20.985
38,A,2019/01/10 20:40:00.000,2019/01/10 20:40:00.000
16,N,2019/01/10 20:40:18.269,2019/01/10 20:40:18.269
32,G,2019/01/10 20:43:30.174,2019/01/10 20:43:30.174
35,F,2019/01/10 20:44:18.088,2019/01/10 20:44:18.088
31,H,2019/01/10 20:46:55.087,2019/01/10 20:46:55.087
37,B,2019/01/10 20:48:38.585,2019/01/10 20:48:38.585
24,L,2019/01/10 20:48:54.515,2019/01/10 20:48:54.515
34,E,2019/01/10 20:49:44.497,2019/01/10 20:49:44.497
28,B,2019/01/10 20:51:50.315,2019/01/10 20:51:50.315
29,E,2019/01/10 20:53:49.731,2019/01/10 20:53:49.731
27,F,2019/01/10 20:58:14.004,2019/01/10 20:58:14.004
39,A,2019/01/10 21:00:00.000,2019/01/10 21:00:00.000
30,E,2019/01/10 21:00:47.926,2019/01/10 21:00:47.926
36,F,2019/01/10 21:01:17.764,2019/01/10 21:01:17.764
33,D,2019/01/10 21:03:31.931,2019/01/10 21:03:31.931
20,O,2019/01/10 21:03:41.711,2019/01/10 21:03:41.711
26,A,2019/01/10 21:03:57.267,2019/01/10 21:03:57.267
38,D,2019/01/10 21:10:00.193,2019/01/10 21:10:00.193
35,E,2019/01/10 21:10:55.880,2019/01/10 21:10:55.880
32,H,2019/01/10 21:12:09.539,2019/01/10 21:12:09.539
37,C,2019/01/10 21:18:27.029,2019/01/10 21:18:27.029
24,M,2019/01/10 21:18:53.765,2019/01/10 21:18:53.765
28,C,2019/01/10 21:19:07.673,2019/01/10 21:19:07.673
40,A,2019/01/10 21:20:00.000,2019/01/10 21:20:00.000
34,G,2019/01/10 21:20:26.687,2019/01/10 21:20:26.687
29,G,2019/01/10 21:25:23.896,2019/01/10 21:25:23.896
36,E,2019/01/10 21:29:26.052,2019/01/10 21:29:26.052
27,E,2019/01/10 21:30:22.697,2019/01/10 21:30:22.697
30,G,2019/01/10 21:30:38.222,2019/01/10 21:30:38.222
39,D,2019/01/10 21:32:15.853,2019/01/10 21:32:15.853
33,F,2019/01/10 21:32:45.412,2019/01/10 21:32:45.412
35,G,2019/01/10 21:35:28.696,2019/01/10 21:35:28.696
26,B,2019/01/10 21:36:30.428,2019/01/10 21:36:30.428
41,A,2019/01/10 21:40:00.000,2019/01/10 21:40:00.000
38,F,2019/01/10 21:42:53.744,2019/01/10 21:42:53.744
34,H,2019/01/10 21:45:18.703,2019/01/10 21:45:18.703
28,A,2019/01/10 21:46:17.443,2019/01/10 21:46:17.443
40,D,2019/01/10 21:49:23.254,2019/01/10 21:49:23.254
37,A,2019/01/10 21:50:50.295,2019/01/10 21:50:50.295
24,O,2019/01/10 21:53:02.932,2019/01/10 21:53:02.932
29,I,2019/01/10 21:55:59.760,2019/01/10 21:55:59.760
27,G,2019/01/10 21:59:16.419,2019/01/10 21:59:16.419
30,I,2019/01/10 21:59:25.539,2019/01/10 21:59:25.539
42,A,2019/01/10 22:00:00.000,2019/01/10 22:00:00.000
36,G,2019/01/10 22:00:37.034,2019/01/10 22:00:37.034
39,F,2019/01/10 22:01:39.714,2019/01/10 22:01:39.714
33,E,2019/01/10 22:04:12.350,2019/01/10 22:04:12.350
26,C,2019/01/10 22:07:17.550,2019/01/10 22:07:17.550
41,D,2019/01/10 22:07:55.226,2019/01/10 22:07:55.226
35,I,2019/01/10 22:08:10.685,2019/01/10 22:08:10.685
28,B,2019/01/10 22:13:04.098,2019/01/10 22:13:04.098
38,E,2019/01/10 22:15:10.327,2019/01/10 22:15:10.327
37,D,2019/01/10 22:19:39.524,2019/01/10 22:19:39.524
43,A,2019/01/10 22:20:00.000,2019/01/10 22:20:00.000
40,F,2019/01/10 22:21:03.330,2019/01/10 22:21:03.330
29,J,2019/01/10 22:26:55.177,2019/01/10 22:26:55.177
30,J,2019/01/10 22:27:15.504,2019/01/10 22:27:15.504
42,B,2019/01/10 22:28:43.033,2019/01/10 22:28:43.033
36,I,2019/01/10 22:28:57.903,2019/01/10 22:28:57.903
27,I,2019/01/10 22:32:04.275,2019/01/10 22:32:04.275
39,E,2019/01/10 22:32:11.465,2019/01/10 22:32:11.465
33,G,2019/01/10 22:35:51.893,2019/01/10 22:35:51.893
41,F,2019/01/10 22:37:41.312,2019/01/10 22:37:41.312
44,A,2019/01/10 22:40:00.000,2019/01/10 22:40:00.000
35,J,2019/01/10 22:40:26.268,2019/01/10 22:40:26.268
26,A,2019/01/10 22:40:44.908,2019/01/10 22:40:44.908
28,C,2019/01/10 22:45:25.513,2019/01/10 22:45:25.513
38,G,2019/01/10 22:45:34.829,2019/01/10 22:45:34.829
43,D,2019/01/10 22:46:10.343,2019/01/10 22:46:10.343
37,F,2019/01/10 22:50:02.263,2019/01/10 22:50:02.263
40,E,2019/01/10 22:52:04.212,2019/01/10 22:52:04.212
29,K,2019/01/10 22:54:55.562,2019/01/10 22:54:55.562
36,J,2019/01/10 22:54:58.887,2019/01/10 22:54:58.887
42,C,2019/01/10 22:57:21.130,2019/01/10 22:57:21.130
30,L,2019/01/10 22:58:19.795,2019/01/10 22:58:19.795
45,A,2019/01/10 23:00:00.000,2019/01/10 23:00:00.000
27,J,2019/01/10 23:00:41.601,2019/01/10 23:00:41.601
39,G,2019/01/10 23:00:54.223,2019/01/10 23:00:54.223
41,E,2019/01/10 23:03:42.792,2019/01/10 23:03:42.792
33,I,2019/01/10 23:05:32.991,2019/01/10 23:05:32.991
43,F,2019/01/10 23:08:55.123,2019/01/10 23:08:55.123
44,D,2019/01/10 23:10:28.722,2019/01/10 23:10:28.722
35,K,2019/01/10 23:10:53.309,2019/01/10 23:10:53.309
26,B,2019/01/10 23:11:34.434,2019/01/10 23:11:34.434
37,E,2019/01/10 23:14:36.736,2019/01/10 23:14:36.736
28,A,2019/01/10 23:17:25.338,2019/01/10 23:17:25.338
38,I,2019/01/10 23:18:30.243,2019/01/10 23:18:30.243
46,A,2019/01/10 23:20:00.000,2019/01/10 23:20:00.000
40,G,2019/01/10 23:24:08.822,2019/01/10 23:24:08.822
39,I,2019/01/10 23:24:21.617,2019/01/10 23:24:21.617
29,M,2019/01/10 23:27:21.699,2019/01/10 23:27:21.699
30,M,2019/01/10 23:28:17.675,2019/01/10 23:28:17.675
